"keys","en","zh_CN","zh_TW","ja","es_ES","es_419","pt_BR","pt_PT","fr","de","da","id","nb","sv","nl","vi","ms","ko","_id","_group","_note"
"Common_Quit","Quit","退出","離開","終了","Salir","Salir","Sair","Sair","Quitter","Beenden","Afslut","Keluar","Avslutt","Avsluta","Afsluiten","Thoát","Keluar","종료","100001","Common","顶部操作按钮"
"Common_Restart","Restart","重启","重新啟動","再起動","Reiniciar","Reiniciar","Reiniciar","Reiniciar","Redémarrer","Neu starten","Genstart","Mulai ulang","Start på nytt","Starta om","Herstart","Khởi động lại","Mula semula","다시 시작","100002","Common","顶部操作按钮"
"Common_Play","Play","游玩","遊玩","プレイ","Jugar","Jugar","Jogar","Jogar","Jouer","Spielen","Spil","Main","Begynn","Spela","Spelen","Chơi","Main","플레이","100003","Common","切换到扑克模式按钮"
"Common_Desktop","Desktop","桌宠","桌寵","ぎたい","Mascota de escritorio","Mascota de escritorio","Mascote de área de trabalho","Mascote de ambiente de trabalho","Compagnon de bureau","Desktop-Begleiter","Skrivebordskæledyr","Peliharaan Desktop","Skrivebordskjæledyr","Skrivbordskompis","Bureaubladmaatje","Thú cưng màn hình nền","Haiwan Peliharaan Desktop","데스크톱 펫","100004","Common","切换到桌宠模式按钮"
"Common_Cancel","Cancel","取消","取消","キャンセル","Cancelar","Cancelar","Cancelar","Cancelar","Annuler","Abbrechen","Annuller","Batal","Avbryt","Avbryt","Annuleren","Hủy","Batal","취소","100005","Common","通用取消按钮"
"Common_Confirm","Confirm","确认","確認","確認","Confirmar","Confirmar","Confirmar","Confirmar","Confirmer","Bestätigen","Bekræft","Konfirmasi","Bekreft","Bekräfta","Bevestigen","Xác nhận","Sahkan","확인","100006","Common","通用确认按钮"
"Settings_Tab_Wardrobe","Wardrobe","装扮","裝扮","着せ替え","Personalización","Personalización","Personalização","Personalização","Garde-robe","Garderobe","Garderobe","Lemari pakaian","Garderobe","Garderob","Garderobe","Tủ đồ","Almari pakaian","꾸미기","200001","Settings","系统面板顶部页签提示"
"Settings_Tab_LinkTree","Links","友情链接","友情連結","リンク","Enlaces","Enlaces","Links","Links","Liens","Links","Links","Tautan","Lenker","Länkar","Links","Liên kết","Pautan","링크","200002","Settings","系统面板顶部页签提示"
"Settings_Tab_Settings","Settings","设置","設定","設定","Ajustes","Ajustes","Configurações","Definições","Paramètres","Einstellungen","Indstillinger","Pengaturan","Innstillinger","Inställningar","Instellingen","Cài đặt","Tetapan","설정","200003","Settings","系统面板顶部页签提示"
"Settings_Tab_Debug","Debug","调试","偵錯","デバッグ","Depuración","Depuración","Depuração","Depuração","Débogage","Debug","Fejlfinding","Debugging","Feilsøking","Felsökning","Foutopsporing","Gỡ lỗi","Penyahpepijatan","디버그","200004","Settings","系统面板顶部页签提示"
